;Campo;2011;Porcentagem do Total de Focos 2011;2012;Porcentagem do Total de Focos 2012;2013;Porcentagem do Total de Focos 2013;2014;Porcentagem do Total de Focos 2014;2015;Porcentagem do Total de Focos 2015;2016;Porcentagem do Total de Focos 2016;2017;Porcentagem do Total de Focos 2017;2018;Porcentagem do Total de Focos 2018;2019;Porcentagem do Total de Focos 2019;2020;Porcentagem do Total de Focos 2020
0;PARNA DAS NASCENTES DO RIO PARNAÍBA;741.0;53.77%;3950.0;51.63%;21.0;2.77%;2942.0;53.28%;3361.0;19.30%;134.0;17.38%;3604;52.11%;1654.0;47.50%;5891.0;65.99%;5914.0;63.82%
1;PARNA DA CHAPADA DAS MESAS;216.0;15.67%;1314.0;17.18%;14.0;1.85%;975.0;17.66%;1213.0;6.96%;33.0;4.28%;1276;18.45%;799.0;22.95%;1184.0;13.26%;1895.0;20.45%
2;REBIO DO GURUPI;216.0;15.67%;1579.0;20.64%;427.0;56.41%;1002.0;18.15%;12129.0;69.63%;362.0;46.95%;1279;18.49%;265.0;7.61%;929.0;10.41%;379.0;4.09%
3;APA DELTA DO PARNAÍBA;111.0;8.06%;432.0;5.65%;206.0;27.21%;395.0;7.15%;362.0;2.08%;152.0;19.71%;432;6.25%;475.0;13.64%;557.0;6.24%;635.0;6.85%
4;RESEX DE CURURUPU;19.0;1.38%;56.0;0.73%;13.0;1.72%;31.0;0.56%;33.0;0.19%;13.0;1.69%;50;0.72%;46.0;1.32%;55.0;0.62%;90.0;0.97%
5;RESEX DO CIRIACO;18.0;1.31%;19.0;0.25%;0.0;0;24.0;0.43%;24.0;0.14%;4.0;0.52%;34;0.49%;28.0;0.80%;60.0;0.67%;59.0;0.64%
6;RESEX DA MATA GRANDE;13.0;0.94%;43.0;0.56%;4.0;0.53%;15.0;0.27%;58.0;0.33%;2.0;0.26%;61;0.88%;30.0;0.86%;58.0;0.65%;51.0;0.55%
7;RESEX CHAPADA LIMPA;10.0;0.73%;84.0;1.10%;11.0;1.45%;21.0;0.38%;156.0;0.90%;36.0;4.67%;32;0.46%;14.0;0.40%;36.0;0.40%;60.0;0.65%
8;RESEX DA BAÍA DO TUBARÃO;9.0;0.65%;54.0;0.71%;22.0;2.91%;16.0;0.29%;22.0;0.13%;13.0;1.69%;26;0.38%;18.0;0.52%;35.0;0.39%;31.0;0.33%
9;PARNA DOS LENÇOIS MARANHENSES;8.0;0.58%;65.0;0.85%;14.0;1.85%;30.0;0.54%;24.0;0.14%;12.0;1.56%;44;0.64%;34.0;0.98%;31.0;0.35%;62.0;0.67%
10;RESEX DO QUILOMBO FLEXAL;5.0;0.36%;22.0;0.29%;18.0;2.38%;33.0;0.60%;11.0;0.06%;1.0;0.13%;12;0.17%;25.0;0.72%;50.0;0.56%;39.0;0.42%
11;RESEX ITAPETININGA;5.0;0.36%;10.0;0.13%;1.0;0.13%;14.0;0.25%;5.0;0.03%;8.0;1.04%;16;0.23%;4.0;0.11%;14.0;0.16%;14.0;0.15%
12;APA SERRA DA TABATINGA;4.0;0.29%;0.0;0;0.0;0;0.0;0;7.0;0.04%;0.0;0;36;0.52%;75.0;2.15%;3.0;0.03%;10.0;0.11%
13;RESEX ARAPIRANGA-TROMAÍ;3.0;0.22%;3.0;0.04%;2.0;0.26%;6.0;0.11%;3.0;0.02%;0.0;0;8;0.12%;3.0;0.09%;7.0;0.08%;7.0;0.08%
14;RESEX MARINHA DO DELTA DO PARNAÍBA;0.0;0;18.0;0.24%;4.0;0.53%;17.0;0.31%;11.0;0.06%;0.0;0;5;0.07%;12.0;0.34%;17.0;0.19%;21.0;0.23%
15;RPPN PRATA;0.0;0;1.0;0.01%;0.0;0;1.0;0.02%;0.0;0;1.0;0.13%;1;0.01%;0.0;0;0.0;0;0.0;0
